STATISTIC,STATISTIC Label,TLIST(M1),Month,C02068V02499,Type of Feedstuff,UNIT,VALUE
AJM08,Feed Stuff Price,201402,2014 February,30,Cattle fattening meal (13-15% protein),Euro per Tonne,296.0
AJM08,Feed Stuff Price,201403,2014 March,1,Rolled barley,Euro per Tonne,230.0
AJM08,Feed Stuff Price,201403,2014 March,4,Soya bean meal,Euro per Tonne,472.0
AJM08,Feed Stuff Price,201403,2014 March,5,Barley meal,Euro per Tonne,
AJM08,Feed Stuff Price,201403,2014 March,6,Maize meal,Euro per Tonne,244.0
AJM08,Feed Stuff Price,201403,2014 March,7,Flaked maize,Euro per Tonne,309.0
AJM08,Feed Stuff Price,201403,2014 March,9,Pig grower (16-18% protein),Euro per Tonne,
AJM08,Feed Stuff Price,201403,2014 March,10,Pig fattening meal (13-15% protein),Euro per Tonne,
AJM08,Feed Stuff Price,201403,2014 March,11,Sow breeder (14-16% protein),Euro per Tonne,
AJM08,Feed Stuff Price,201403,2014 March,12,"Sow, weaner and 'bonham' meal (16-17.5% protein)",Euro per Tonne,
AJM08,Feed Stuff Price,201403,2014 March,13,Calf nuts and cubes (16-18% protein),Euro per Tonne,305.0
AJM08,Feed Stuff Price,201403,2014 March,14,Calf meal (16-18% protein),Euro per Tonne,
AJM08,Feed Stuff Price,201403,2014 March,15,Calf nuts and cubes (14-15% protein),Euro per Tonne,
AJM08,Feed Stuff Price,201403,2014 March,16,Cattle fattening nuts and cubes (13-15% protein),Euro per Tonne,280.0
AJM08,Feed Stuff Price,201403,2014 March,17,Dairy nuts and cubes (16-18% protein),Euro per Tonne,288.0
AJM08,Feed Stuff Price,201403,2014 March,18,Dairy meal (16-18% protein),Euro per Tonne,290.0
AJM08,Feed Stuff Price,201403,2014 March,19,Dairy nuts and cubes (13-15% protein),Euro per Tonne,
AJM08,Feed Stuff Price,201403,2014 March,20,Dairy meal (13-15% protein),Euro per Tonne,
AJM08,Feed Stuff Price,201403,2014 March,21,Chick mash (18-20% protein),Euro per Tonne,
AJM08,Feed Stuff Price,201403,2014 March,22,Layers' mash (14-16% protein),Euro per Tonne,350.0
AJM08,Feed Stuff Price,201403,2014 March,23,Broiler starter (22-24% protein),Euro per Tonne,
AJM08,Feed Stuff Price,201403,2014 March,24,Broiler finisher (19-21% protein),Euro per Tonne,
AJM08,Feed Stuff Price,201403,2014 March,25,Milk replacer,Euro per Tonne,2233.0
AJM08,Feed Stuff Price,201403,2014 March,26,Wheat,Euro per Tonne,212.0
AJM08,Feed Stuff Price,201403,2014 March,27,Ewe feed coarse (16-20% protein),Euro per Tonne,281.0
AJM08,Feed Stuff Price,201403,2014 March,28,Ewe pellets/nuts (16-20%),Euro per Tonne,284.0
AJM08,Feed Stuff Price,201403,2014 March,29,Lamb feed (16-20% protein),Euro per Tonne,308.0
AJM08,Feed Stuff Price,201403,2014 March,30,Cattle fattening meal (13-15% protein),Euro per Tonne,281.0
AJM08,Feed Stuff Price,201404,2014 April,1,Rolled barley,Euro per Tonne,220.0
AJM08,Feed Stuff Price,201404,2014 April,4,Soya bean meal,Euro per Tonne,483.0
AJM08,Feed Stuff Price,201404,2014 April,5,Barley meal,Euro per Tonne,233.0
AJM08,Feed Stuff Price,201404,2014 April,6,Maize meal,Euro per Tonne,233.0
AJM08,Feed Stuff Price,201404,2014 April,7,Flaked maize,Euro per Tonne,296.0
AJM08,Feed Stuff Price,201404,2014 April,9,Pig grower (16-18% protein),Euro per Tonne,
AJM08,Feed Stuff Price,201404,2014 April,10,Pig fattening meal (13-15% protein),Euro per Tonne,310.0
AJM08,Feed Stuff Price,201404,2014 April,11,Sow breeder (14-16% protein),Euro per Tonne,313.0
AJM08,Feed Stuff Price,201404,2014 April,12,"Sow, weaner and 'bonham' meal (16-17.5% protein)",Euro per Tonne,
AJM08,Feed Stuff Price,201404,2014 April,13,Calf nuts and cubes (16-18% protein),Euro per Tonne,313.0
AJM08,Feed Stuff Price,201404,2014 April,14,Calf meal (16-18% protein),Euro per Tonne,
AJM08,Feed Stuff Price,201404,2014 April,15,Calf nuts and cubes (14-15% protein),Euro per Tonne,
AJM08,Feed Stuff Price,201404,2014 April,16,Cattle fattening nuts and cubes (13-15% protein),Euro per Tonne,283.0
AJM08,Feed Stuff Price,201404,2014 April,17,Dairy nuts and cubes (16-18% protein),Euro per Tonne,289.0
AJM08,Feed Stuff Price,201404,2014 April,18,Dairy meal (16-18% protein),Euro per Tonne,276.0
AJM08,Feed Stuff Price,201404,2014 April,19,Dairy nuts and cubes (13-15% protein),Euro per Tonne,
AJM08,Feed Stuff Price,201404,2014 April,20,Dairy meal (13-15% protein),Euro per Tonne,
AJM08,Feed Stuff Price,201404,2014 April,21,Chick mash (18-20% protein),Euro per Tonne,
AJM08,Feed Stuff Price,201404,2014 April,22,Layers' mash (14-16% protein),Euro per Tonne,
AJM08,Feed Stuff Price,201404,2014 April,23,Broiler starter (22-24% protein),Euro per Tonne,
AJM08,Feed Stuff Price,201404,2014 April,24,Broiler finisher (19-21% protein),Euro per Tonne,479.0
AJM08,Feed Stuff Price,201404,2014 April,25,Milk replacer,Euro per Tonne,2222.0
AJM08,Feed Stuff Price,201404,2014 April,26,Wheat,Euro per Tonne,223.0
AJM08,Feed Stuff Price,201404,2014 April,27,Ewe feed coarse (16-20% protein),Euro per Tonne,282.0
AJM08,Feed Stuff Price,201404,2014 April,28,Ewe pellets/nuts (16-20%),Euro per Tonne,295.0
AJM08,Feed Stuff Price,201404,2014 April,29,Lamb feed (16-20% protein),Euro per Tonne,313.0
AJM08,Feed Stuff Price,201404,2014 April,30,Cattle fattening meal (13-15% protein),Euro per Tonne,277.0
AJM08,Feed Stuff Price,201405,2014 May,1,Rolled barley,Euro per Tonne,229.0
AJM08,Feed Stuff Price,201405,2014 May,4,Soya bean meal,Euro per Tonne,481.0
AJM08,Feed Stuff Price,201405,2014 May,5,Barley meal,Euro per Tonne,227.0
AJM08,Feed Stuff Price,201405,2014 May,6,Maize meal,Euro per Tonne,240.0
AJM08,Feed Stuff Price,201405,2014 May,7,Flaked maize,Euro per Tonne,295.0
AJM08,Feed Stuff Price,201405,2014 May,9,Pig grower (16-18% protein),Euro per Tonne,
AJM08,Feed Stuff Price,201405,2014 May,10,Pig fattening meal (13-15% protein),Euro per Tonne,308.0
AJM08,Feed Stuff Price,201405,2014 May,11,Sow breeder (14-16% protein),Euro per Tonne,311.0
AJM08,Feed Stuff Price,201405,2014 May,12,"Sow, weaner and 'bonham' meal (16-17.5% protein)",Euro per Tonne,
AJM08,Feed Stuff Price,201405,2014 May,13,Calf nuts and cubes (16-18% protein),Euro per Tonne,315.0
AJM08,Feed Stuff Price,201405,2014 May,14,Calf meal (16-18% protein),Euro per Tonne,
AJM08,Feed Stuff Price,201405,2014 May,15,Calf nuts and cubes (14-15% protein),Euro per Tonne,
AJM08,Feed Stuff Price,201405,2014 May,16,Cattle fattening nuts and cubes (13-15% protein),Euro per Tonne,289.0
AJM08,Feed Stuff Price,201405,2014 May,17,Dairy nuts and cubes (16-18% protein),Euro per Tonne,292.0
AJM08,Feed Stuff Price,201405,2014 May,18,Dairy meal (16-18% protein),Euro per Tonne,284.0
AJM08,Feed Stuff Price,201405,2014 May,19,Dairy nuts and cubes (13-15% protein),Euro per Tonne,
AJM08,Feed Stuff Price,201405,2014 May,20,Dairy meal (13-15% protein),Euro per Tonne,
AJM08,Feed Stuff Price,201405,2014 May,21,Chick mash (18-20% protein),Euro per Tonne,
AJM08,Feed Stuff Price,201405,2014 May,22,Layers' mash (14-16% protein),Euro per Tonne,
AJM08,Feed Stuff Price,201405,2014 May,23,Broiler starter (22-24% protein),Euro per Tonne,
AJM08,Feed Stuff Price,201405,2014 May,24,Broiler finisher (19-21% protein),Euro per Tonne,
AJM08,Feed Stuff Price,201405,2014 May,25,Milk replacer,Euro per Tonne,2252.0
AJM08,Feed Stuff Price,201405,2014 May,26,Wheat,Euro per Tonne,225.0
AJM08,Feed Stuff Price,201405,2014 May,27,Ewe feed coarse (16-20% protein),Euro per Tonne,290.0
AJM08,Feed Stuff Price,201405,2014 May,28,Ewe pellets/nuts (16-20%),Euro per Tonne,296.0
AJM08,Feed Stuff Price,201405,2014 May,29,Lamb feed (16-20% protein),Euro per Tonne,311.0
AJM08,Feed Stuff Price,201405,2014 May,30,Cattle fattening meal (13-15% protein),Euro per Tonne,282.0
AJM08,Feed Stuff Price,201406,2014 June,1,Rolled barley,Euro per Tonne,225.0
AJM08,Feed Stuff Price,201406,2014 June,4,Soya bean meal,Euro per Tonne,480.0
AJM08,Feed Stuff Price,201406,2014 June,5,Barley meal,Euro per Tonne,
AJM08,Feed Stuff Price,201406,2014 June,6,Maize meal,Euro per Tonne,240.0
AJM08,Feed Stuff Price,201406,2014 June,7,Flaked maize,Euro per Tonne,314.0
AJM08,Feed Stuff Price,201406,2014 June,9,Pig grower (16-18% protein),Euro per Tonne,
AJM08,Feed Stuff Price,201406,2014 June,10,Pig fattening meal (13-15% protein),Euro per Tonne,308.0
AJM08,Feed Stuff Price,201406,2014 June,11,Sow breeder (14-16% protein),Euro per Tonne,311.0
AJM08,Feed Stuff Price,201406,2014 June,12,"Sow, weaner and 'bonham' meal (16-17.5% protein)",Euro per Tonne,
AJM08,Feed Stuff Price,201406,2014 June,13,Calf nuts and cubes (16-18% protein),Euro per Tonne,312.0
AJM08,Feed Stuff Price,201406,2014 June,14,Calf meal (16-18% protein),Euro per Tonne,
AJM08,Feed Stuff Price,201406,2014 June,15,Calf nuts and cubes (14-15% protein),Euro per Tonne,
AJM08,Feed Stuff Price,201406,2014 June,16,Cattle fattening nuts and cubes (13-15% protein),Euro per Tonne,289.0
AJM08,Feed Stuff Price,201406,2014 June,17,Dairy nuts and cubes (16-18% protein),Euro per Tonne,290.0
AJM08,Feed Stuff Price,201406,2014 June,18,Dairy meal (16-18% protein),Euro per Tonne,278.0
AJM08,Feed Stuff Price,201406,2014 June,19,Dairy nuts and cubes (13-15% protein),Euro per Tonne,
AJM08,Feed Stuff Price,201406,2014 June,20,Dairy meal (13-15% protein),Euro per Tonne,
AJM08,Feed Stuff Price,201406,2014 June,21,Chick mash (18-20% protein),Euro per Tonne,
AJM08,Feed Stuff Price,201406,2014 June,22,Layers' mash (14-16% protein),Euro per Tonne,
AJM08,Feed Stuff Price,201406,2014 June,23,Broiler starter (22-24% protein),Euro per Tonne,
AJM08,Feed Stuff Price,201406,2014 June,24,Broiler finisher (19-21% protein),Euro per Tonne,
AJM08,Feed Stuff Price,201406,2014 June,25,Milk replacer,Euro per Tonne,2258.0
AJM08,Feed Stuff Price,201406,2014 June,26,Wheat,Euro per Tonne,212.0
AJM08,Feed Stuff Price,201406,2014 June,27,Ewe feed coarse (16-20% protein),Euro per Tonne,289.0
AJM08,Feed Stuff Price,201406,2014 June,28,Ewe pellets/nuts (16-20%),Euro per Tonne,296.0
AJM08,Feed Stuff Price,201406,2014 June,29,Lamb feed (16-20% protein),Euro per Tonne,309.0
AJM08,Feed Stuff Price,201406,2014 June,30,Cattle fattening meal (13-15% protein),Euro per Tonne,275.0
AJM08,Feed Stuff Price,201407,2014 July,1,Rolled barley,Euro per Tonne,221.0
AJM08,Feed Stuff Price,201407,2014 July,4,Soya bean meal,Euro per Tonne,463.0
AJM08,Feed Stuff Price,201407,2014 July,5,Barley meal,Euro per Tonne,
AJM08,Feed Stuff Price,201407,2014 July,6,Maize meal,Euro per Tonne,234.0
AJM08,Feed Stuff Price,201407,2014 July,7,Flaked maize,Euro per Tonne,293.0
AJM08,Feed Stuff Price,201407,2014 July,9,Pig grower (16-18% protein),Euro per Tonne,
AJM08,Feed Stuff Price,201407,2014 July,10,Pig fattening meal (13-15% protein),Euro per Tonne,308.0
AJM08,Feed Stuff Price,201407,2014 July,11,Sow breeder (14-16% protein),Euro per Tonne,311.0
AJM08,Feed Stuff Price,201407,2014 July,12,"Sow, weaner and 'bonham' meal (16-17.5% protein)",Euro per Tonne,
AJM08,Feed Stuff Price,201407,2014 July,13,Calf nuts and cubes (16-18% protein),Euro per Tonne,311.0
AJM08,Feed Stuff Price,201407,2014 July,14,Calf meal (16-18% protein),Euro per Tonne,
AJM08,Feed Stuff Price,201407,2014 July,15,Calf nuts and cubes (14-15% protein),Euro per Tonne,
AJM08,Feed Stuff Price,201407,2014 July,16,Cattle fattening nuts and cubes (13-15% protein),Euro per Tonne,290.0
AJM08,Feed Stuff Price,201407,2014 July,17,Dairy nuts and cubes (16-18% protein),Euro per Tonne,289.0
AJM08,Feed Stuff Price,201407,2014 July,18,Dairy meal (16-18% protein),Euro per Tonne,279.0
AJM08,Feed Stuff Price,201407,2014 July,19,Dairy nuts and cubes (13-15% protein),Euro per Tonne,
AJM08,Feed Stuff Price,201407,2014 July,20,Dairy meal (13-15% protein),Euro per Tonne,
AJM08,Feed Stuff Price,201407,2014 July,21,Chick mash (18-20% protein),Euro per Tonne,
AJM08,Feed Stuff Price,201407,2014 July,22,Layers' mash (14-16% protein),Euro per Tonne,
AJM08,Feed Stuff Price,201407,2014 July,23,Broiler starter (22-24% protein),Euro per Tonne,
AJM08,Feed Stuff Price,201407,2014 July,24,Broiler finisher (19-21% protein),Euro per Tonne,
AJM08,Feed Stuff Price,201407,2014 July,25,Milk replacer,Euro per Tonne,2302.0
AJM08,Feed Stuff Price,201407,2014 July,26,Wheat,Euro per Tonne,215.0
AJM08,Feed Stuff Price,201407,2014 July,27,Ewe feed coarse (16-20% protein),Euro per Tonne,289.0
AJM08,Feed Stuff Price,201407,2014 July,28,Ewe pellets/nuts (16-20%),Euro per Tonne,298.0
AJM08,Feed Stuff Price,201407,2014 July,29,Lamb feed (16-20% protein),Euro per Tonne,309.0
AJM08,Feed Stuff Price,201407,2014 July,30,Cattle fattening meal (13-15% protein),Euro per Tonne,275.0
AJM08,Feed Stuff Price,201408,2014 August,1,Rolled barley,Euro per Tonne,215.0
AJM08,Feed Stuff Price,201408,2014 August,4,Soya bean meal,Euro per Tonne,454.0
AJM08,Feed Stuff Price,201408,2014 August,5,Barley meal,Euro per Tonne,
AJM08,Feed Stuff Price,201408,2014 August,6,Maize meal,Euro per Tonne,228.0
AJM08,Feed Stuff Price,201408,2014 August,7,Flaked maize,Euro per Tonne,293.0
AJM08,Feed Stuff Price,201408,2014 August,9,Pig grower (16-18% protein),Euro per Tonne,
AJM08,Feed Stuff Price,201408,2014 August,10,Pig fattening meal (13-15% protein),Euro per Tonne,307.0
AJM08,Feed Stuff Price,201408,2014 August,11,Sow breeder (14-16% protein),Euro per Tonne,310.0
AJM08,Feed Stuff Price,201408,2014 August,12,"Sow, weaner and 'bonham' meal (16-17.5% protein)",Euro per Tonne,
AJM08,Feed Stuff Price,201408,2014 August,13,Calf nuts and cubes (16-18% protein),Euro per Tonne,311.0
AJM08,Feed Stuff Price,201408,2014 August,14,Calf meal (16-18% protein),Euro per Tonne,
AJM08,Feed Stuff Price,201408,2014 August,15,Calf nuts and cubes (14-15% protein),Euro per Tonne,
AJM08,Feed Stuff Price,201408,2014 August,16,Cattle fattening nuts and cubes (13-15% protein),Euro per Tonne,287.0
AJM08,Feed Stuff Price,201408,2014 August,17,Dairy nuts and cubes (16-18% protein),Euro per Tonne,287.0
AJM08,Feed Stuff Price,201408,2014 August,18,Dairy meal (16-18% protein),Euro per Tonne,278.0
AJM08,Feed Stuff Price,201408,2014 August,19,Dairy nuts and cubes (13-15% protein),Euro per Tonne,
