STATISTIC,STATISTIC Label,TLIST(M1),Month,C02068V02499,Type of Feedstuff,UNIT,VALUE
AJM08,Feed Stuff Price,201604,2016 April,1,Rolled barley,Euro per Tonne,187.0
AJM08,Feed Stuff Price,201604,2016 April,4,Soya bean meal,Euro per Tonne,391.0
AJM08,Feed Stuff Price,201604,2016 April,5,Barley meal,Euro per Tonne,182.0
AJM08,Feed Stuff Price,201604,2016 April,6,Maize meal,Euro per Tonne,232.0
AJM08,Feed Stuff Price,201604,2016 April,7,Flaked maize,Euro per Tonne,275.0
AJM08,Feed Stuff Price,201604,2016 April,9,Pig grower (16-18% protein),Euro per Tonne,
AJM08,Feed Stuff Price,201604,2016 April,10,Pig fattening meal (13-15% protein),Euro per Tonne,
AJM08,Feed Stuff Price,201604,2016 April,11,Sow breeder (14-16% protein),Euro per Tonne,
AJM08,Feed Stuff Price,201604,2016 April,12,"Sow, weaner and 'bonham' meal (16-17.5% protein)",Euro per Tonne,
AJM08,Feed Stuff Price,201604,2016 April,13,Calf nuts and cubes (16-18% protein),Euro per Tonne,307.0
AJM08,Feed Stuff Price,201604,2016 April,14,Calf meal (16-18% protein),Euro per Tonne,
AJM08,Feed Stuff Price,201604,2016 April,15,Calf nuts and cubes (14-15% protein),Euro per Tonne,
AJM08,Feed Stuff Price,201604,2016 April,16,Cattle fattening nuts and cubes (13-15% protein),Euro per Tonne,271.0
AJM08,Feed Stuff Price,201604,2016 April,17,Dairy nuts and cubes (16-18% protein),Euro per Tonne,276.0
AJM08,Feed Stuff Price,201604,2016 April,18,Dairy meal (16-18% protein),Euro per Tonne,261.0
AJM08,Feed Stuff Price,201604,2016 April,19,Dairy nuts and cubes (13-15% protein),Euro per Tonne,
AJM08,Feed Stuff Price,201604,2016 April,20,Dairy meal (13-15% protein),Euro per Tonne,
AJM08,Feed Stuff Price,201604,2016 April,21,Chick mash (18-20% protein),Euro per Tonne,
AJM08,Feed Stuff Price,201604,2016 April,22,Layers' mash (14-16% protein),Euro per Tonne,
AJM08,Feed Stuff Price,201604,2016 April,23,Broiler starter (22-24% protein),Euro per Tonne,
AJM08,Feed Stuff Price,201604,2016 April,24,Broiler finisher (19-21% protein),Euro per Tonne,
AJM08,Feed Stuff Price,201604,2016 April,25,Milk replacer,Euro per Tonne,1957.0
AJM08,Feed Stuff Price,201604,2016 April,26,Wheat,Euro per Tonne,184.0
AJM08,Feed Stuff Price,201604,2016 April,27,Ewe feed coarse (16-20% protein),Euro per Tonne,271.0
AJM08,Feed Stuff Price,201604,2016 April,28,Ewe pellets/nuts (16-20%),Euro per Tonne,285.0
AJM08,Feed Stuff Price,201604,2016 April,29,Lamb feed (16-20% protein),Euro per Tonne,304.0
AJM08,Feed Stuff Price,201604,2016 April,30,Cattle fattening meal (13-15% protein),Euro per Tonne,255.0
AJM08,Feed Stuff Price,201605,2016 May,1,Rolled barley,Euro per Tonne,189.0
AJM08,Feed Stuff Price,201605,2016 May,4,Soya bean meal,Euro per Tonne,417.0
AJM08,Feed Stuff Price,201605,2016 May,5,Barley meal,Euro per Tonne,
AJM08,Feed Stuff Price,201605,2016 May,6,Maize meal,Euro per Tonne,233.0
AJM08,Feed Stuff Price,201605,2016 May,7,Flaked maize,Euro per Tonne,285.0
AJM08,Feed Stuff Price,201605,2016 May,9,Pig grower (16-18% protein),Euro per Tonne,
AJM08,Feed Stuff Price,201605,2016 May,10,Pig fattening meal (13-15% protein),Euro per Tonne,
AJM08,Feed Stuff Price,201605,2016 May,11,Sow breeder (14-16% protein),Euro per Tonne,
AJM08,Feed Stuff Price,201605,2016 May,12,"Sow, weaner and 'bonham' meal (16-17.5% protein)",Euro per Tonne,
AJM08,Feed Stuff Price,201605,2016 May,13,Calf nuts and cubes (16-18% protein),Euro per Tonne,304.0
AJM08,Feed Stuff Price,201605,2016 May,14,Calf meal (16-18% protein),Euro per Tonne,
AJM08,Feed Stuff Price,201605,2016 May,15,Calf nuts and cubes (14-15% protein),Euro per Tonne,
AJM08,Feed Stuff Price,201605,2016 May,16,Cattle fattening nuts and cubes (13-15% protein),Euro per Tonne,269.0
AJM08,Feed Stuff Price,201605,2016 May,17,Dairy nuts and cubes (16-18% protein),Euro per Tonne,274.0
AJM08,Feed Stuff Price,201605,2016 May,18,Dairy meal (16-18% protein),Euro per Tonne,253.0
AJM08,Feed Stuff Price,201605,2016 May,19,Dairy nuts and cubes (13-15% protein),Euro per Tonne,
AJM08,Feed Stuff Price,201605,2016 May,20,Dairy meal (13-15% protein),Euro per Tonne,
AJM08,Feed Stuff Price,201605,2016 May,21,Chick mash (18-20% protein),Euro per Tonne,
AJM08,Feed Stuff Price,201605,2016 May,22,Layers' mash (14-16% protein),Euro per Tonne,
AJM08,Feed Stuff Price,201605,2016 May,23,Broiler starter (22-24% protein),Euro per Tonne,
AJM08,Feed Stuff Price,201605,2016 May,24,Broiler finisher (19-21% protein),Euro per Tonne,
AJM08,Feed Stuff Price,201605,2016 May,25,Milk replacer,Euro per Tonne,1955.0
AJM08,Feed Stuff Price,201605,2016 May,26,Wheat,Euro per Tonne,180.0
AJM08,Feed Stuff Price,201605,2016 May,27,Ewe feed coarse (16-20% protein),Euro per Tonne,268.0
AJM08,Feed Stuff Price,201605,2016 May,28,Ewe pellets/nuts (16-20%),Euro per Tonne,280.0
AJM08,Feed Stuff Price,201605,2016 May,29,Lamb feed (16-20% protein),Euro per Tonne,299.0
AJM08,Feed Stuff Price,201605,2016 May,30,Cattle fattening meal (13-15% protein),Euro per Tonne,256.0
AJM08,Feed Stuff Price,201606,2016 June,1,Rolled barley,Euro per Tonne,189.0
AJM08,Feed Stuff Price,201606,2016 June,4,Soya bean meal,Euro per Tonne,435.0
AJM08,Feed Stuff Price,201606,2016 June,5,Barley meal,Euro per Tonne,
AJM08,Feed Stuff Price,201606,2016 June,6,Maize meal,Euro per Tonne,234.0
AJM08,Feed Stuff Price,201606,2016 June,7,Flaked maize,Euro per Tonne,288.0
AJM08,Feed Stuff Price,201606,2016 June,9,Pig grower (16-18% protein),Euro per Tonne,
AJM08,Feed Stuff Price,201606,2016 June,10,Pig fattening meal (13-15% protein),Euro per Tonne,
AJM08,Feed Stuff Price,201606,2016 June,11,Sow breeder (14-16% protein),Euro per Tonne,
AJM08,Feed Stuff Price,201606,2016 June,12,"Sow, weaner and 'bonham' meal (16-17.5% protein)",Euro per Tonne,
AJM08,Feed Stuff Price,201606,2016 June,13,Calf nuts and cubes (16-18% protein),Euro per Tonne,304.0
AJM08,Feed Stuff Price,201606,2016 June,14,Calf meal (16-18% protein),Euro per Tonne,
AJM08,Feed Stuff Price,201606,2016 June,15,Calf nuts and cubes (14-15% protein),Euro per Tonne,
AJM08,Feed Stuff Price,201606,2016 June,16,Cattle fattening nuts and cubes (13-15% protein),Euro per Tonne,268.0
AJM08,Feed Stuff Price,201606,2016 June,17,Dairy nuts and cubes (16-18% protein),Euro per Tonne,273.0
AJM08,Feed Stuff Price,201606,2016 June,18,Dairy meal (16-18% protein),Euro per Tonne,250.0
AJM08,Feed Stuff Price,201606,2016 June,19,Dairy nuts and cubes (13-15% protein),Euro per Tonne,
AJM08,Feed Stuff Price,201606,2016 June,20,Dairy meal (13-15% protein),Euro per Tonne,
AJM08,Feed Stuff Price,201606,2016 June,21,Chick mash (18-20% protein),Euro per Tonne,
AJM08,Feed Stuff Price,201606,2016 June,22,Layers' mash (14-16% protein),Euro per Tonne,
AJM08,Feed Stuff Price,201606,2016 June,23,Broiler starter (22-24% protein),Euro per Tonne,
AJM08,Feed Stuff Price,201606,2016 June,24,Broiler finisher (19-21% protein),Euro per Tonne,
AJM08,Feed Stuff Price,201606,2016 June,25,Milk replacer,Euro per Tonne,1970.0
AJM08,Feed Stuff Price,201606,2016 June,26,Wheat,Euro per Tonne,179.0
AJM08,Feed Stuff Price,201606,2016 June,27,Ewe feed coarse (16-20% protein),Euro per Tonne,268.0
AJM08,Feed Stuff Price,201606,2016 June,28,Ewe pellets/nuts (16-20%),Euro per Tonne,281.0
AJM08,Feed Stuff Price,201606,2016 June,29,Lamb feed (16-20% protein),Euro per Tonne,299.0
AJM08,Feed Stuff Price,201606,2016 June,30,Cattle fattening meal (13-15% protein),Euro per Tonne,256.0
AJM08,Feed Stuff Price,201607,2016 July,1,Rolled barley,Euro per Tonne,188.0
AJM08,Feed Stuff Price,201607,2016 July,4,Soya bean meal,Euro per Tonne,428.0
AJM08,Feed Stuff Price,201607,2016 July,5,Barley meal,Euro per Tonne,
AJM08,Feed Stuff Price,201607,2016 July,6,Maize meal,Euro per Tonne,231.0
AJM08,Feed Stuff Price,201607,2016 July,7,Flaked maize,Euro per Tonne,285.0
AJM08,Feed Stuff Price,201607,2016 July,9,Pig grower (16-18% protein),Euro per Tonne,
AJM08,Feed Stuff Price,201607,2016 July,10,Pig fattening meal (13-15% protein),Euro per Tonne,
AJM08,Feed Stuff Price,201607,2016 July,11,Sow breeder (14-16% protein),Euro per Tonne,
AJM08,Feed Stuff Price,201607,2016 July,12,"Sow, weaner and 'bonham' meal (16-17.5% protein)",Euro per Tonne,
AJM08,Feed Stuff Price,201607,2016 July,13,Calf nuts and cubes (16-18% protein),Euro per Tonne,299.0
AJM08,Feed Stuff Price,201607,2016 July,14,Calf meal (16-18% protein),Euro per Tonne,
AJM08,Feed Stuff Price,201607,2016 July,15,Calf nuts and cubes (14-15% protein),Euro per Tonne,
AJM08,Feed Stuff Price,201607,2016 July,16,Cattle fattening nuts and cubes (13-15% protein),Euro per Tonne,270.0
AJM08,Feed Stuff Price,201607,2016 July,17,Dairy nuts and cubes (16-18% protein),Euro per Tonne,273.0
AJM08,Feed Stuff Price,201607,2016 July,18,Dairy meal (16-18% protein),Euro per Tonne,253.0
AJM08,Feed Stuff Price,201607,2016 July,19,Dairy nuts and cubes (13-15% protein),Euro per Tonne,
AJM08,Feed Stuff Price,201607,2016 July,20,Dairy meal (13-15% protein),Euro per Tonne,
AJM08,Feed Stuff Price,201607,2016 July,21,Chick mash (18-20% protein),Euro per Tonne,
AJM08,Feed Stuff Price,201607,2016 July,22,Layers' mash (14-16% protein),Euro per Tonne,345.0
AJM08,Feed Stuff Price,201607,2016 July,23,Broiler starter (22-24% protein),Euro per Tonne,
AJM08,Feed Stuff Price,201607,2016 July,24,Broiler finisher (19-21% protein),Euro per Tonne,
AJM08,Feed Stuff Price,201607,2016 July,25,Milk replacer,Euro per Tonne,1991.0
AJM08,Feed Stuff Price,201607,2016 July,26,Wheat,Euro per Tonne,181.0
AJM08,Feed Stuff Price,201607,2016 July,27,Ewe feed coarse (16-20% protein),Euro per Tonne,268.0
AJM08,Feed Stuff Price,201607,2016 July,28,Ewe pellets/nuts (16-20%),Euro per Tonne,281.0
AJM08,Feed Stuff Price,201607,2016 July,29,Lamb feed (16-20% protein),Euro per Tonne,303.0
AJM08,Feed Stuff Price,201607,2016 July,30,Cattle fattening meal (13-15% protein),Euro per Tonne,256.0
AJM08,Feed Stuff Price,201608,2016 August,1,Rolled barley,Euro per Tonne,186.0
AJM08,Feed Stuff Price,201608,2016 August,4,Soya bean meal,Euro per Tonne,424.0
AJM08,Feed Stuff Price,201608,2016 August,5,Barley meal,Euro per Tonne,
AJM08,Feed Stuff Price,201608,2016 August,6,Maize meal,Euro per Tonne,232.0
AJM08,Feed Stuff Price,201608,2016 August,7,Flaked maize,Euro per Tonne,285.0
AJM08,Feed Stuff Price,201608,2016 August,9,Pig grower (16-18% protein),Euro per Tonne,
AJM08,Feed Stuff Price,201608,2016 August,10,Pig fattening meal (13-15% protein),Euro per Tonne,
AJM08,Feed Stuff Price,201608,2016 August,11,Sow breeder (14-16% protein),Euro per Tonne,
AJM08,Feed Stuff Price,201608,2016 August,12,"Sow, weaner and 'bonham' meal (16-17.5% protein)",Euro per Tonne,
AJM08,Feed Stuff Price,201608,2016 August,13,Calf nuts and cubes (16-18% protein),Euro per Tonne,295.0
AJM08,Feed Stuff Price,201608,2016 August,14,Calf meal (16-18% protein),Euro per Tonne,
AJM08,Feed Stuff Price,201608,2016 August,15,Calf nuts and cubes (14-15% protein),Euro per Tonne,
AJM08,Feed Stuff Price,201608,2016 August,16,Cattle fattening nuts and cubes (13-15% protein),Euro per Tonne,269.0
AJM08,Feed Stuff Price,201608,2016 August,17,Dairy nuts and cubes (16-18% protein),Euro per Tonne,270.0
AJM08,Feed Stuff Price,201608,2016 August,18,Dairy meal (16-18% protein),Euro per Tonne,252.0
AJM08,Feed Stuff Price,201608,2016 August,19,Dairy nuts and cubes (13-15% protein),Euro per Tonne,
AJM08,Feed Stuff Price,201608,2016 August,20,Dairy meal (13-15% protein),Euro per Tonne,
AJM08,Feed Stuff Price,201608,2016 August,21,Chick mash (18-20% protein),Euro per Tonne,
AJM08,Feed Stuff Price,201608,2016 August,22,Layers' mash (14-16% protein),Euro per Tonne,345.0
AJM08,Feed Stuff Price,201608,2016 August,23,Broiler starter (22-24% protein),Euro per Tonne,
AJM08,Feed Stuff Price,201608,2016 August,24,Broiler finisher (19-21% protein),Euro per Tonne,
AJM08,Feed Stuff Price,201608,2016 August,25,Milk replacer,Euro per Tonne,1991.0
AJM08,Feed Stuff Price,201608,2016 August,26,Wheat,Euro per Tonne,181.0
AJM08,Feed Stuff Price,201608,2016 August,27,Ewe feed coarse (16-20% protein),Euro per Tonne,267.0
AJM08,Feed Stuff Price,201608,2016 August,28,Ewe pellets/nuts (16-20%),Euro per Tonne,281.0
AJM08,Feed Stuff Price,201608,2016 August,29,Lamb feed (16-20% protein),Euro per Tonne,303.0
AJM08,Feed Stuff Price,201608,2016 August,30,Cattle fattening meal (13-15% protein),Euro per Tonne,256.0
AJM08,Feed Stuff Price,201609,2016 September,1,Rolled barley,Euro per Tonne,184.0
AJM08,Feed Stuff Price,201609,2016 September,4,Soya bean meal,Euro per Tonne,414.0
AJM08,Feed Stuff Price,201609,2016 September,5,Barley meal,Euro per Tonne,
AJM08,Feed Stuff Price,201609,2016 September,6,Maize meal,Euro per Tonne,230.0
AJM08,Feed Stuff Price,201609,2016 September,7,Flaked maize,Euro per Tonne,285.0
AJM08,Feed Stuff Price,201609,2016 September,9,Pig grower (16-18% protein),Euro per Tonne,
AJM08,Feed Stuff Price,201609,2016 September,10,Pig fattening meal (13-15% protein),Euro per Tonne,
AJM08,Feed Stuff Price,201609,2016 September,11,Sow breeder (14-16% protein),Euro per Tonne,
AJM08,Feed Stuff Price,201609,2016 September,12,"Sow, weaner and 'bonham' meal (16-17.5% protein)",Euro per Tonne,
AJM08,Feed Stuff Price,201609,2016 September,13,Calf nuts and cubes (16-18% protein),Euro per Tonne,295.0
AJM08,Feed Stuff Price,201609,2016 September,14,Calf meal (16-18% protein),Euro per Tonne,
AJM08,Feed Stuff Price,201609,2016 September,15,Calf nuts and cubes (14-15% protein),Euro per Tonne,
AJM08,Feed Stuff Price,201609,2016 September,16,Cattle fattening nuts and cubes (13-15% protein),Euro per Tonne,268.0
AJM08,Feed Stuff Price,201609,2016 September,17,Dairy nuts and cubes (16-18% protein),Euro per Tonne,271.0
AJM08,Feed Stuff Price,201609,2016 September,18,Dairy meal (16-18% protein),Euro per Tonne,251.0
AJM08,Feed Stuff Price,201609,2016 September,19,Dairy nuts and cubes (13-15% protein),Euro per Tonne,
AJM08,Feed Stuff Price,201609,2016 September,20,Dairy meal (13-15% protein),Euro per Tonne,
AJM08,Feed Stuff Price,201609,2016 September,21,Chick mash (18-20% protein),Euro per Tonne,
AJM08,Feed Stuff Price,201609,2016 September,22,Layers' mash (14-16% protein),Euro per Tonne,345.0
AJM08,Feed Stuff Price,201609,2016 September,23,Broiler starter (22-24% protein),Euro per Tonne,
AJM08,Feed Stuff Price,201609,2016 September,24,Broiler finisher (19-21% protein),Euro per Tonne,
AJM08,Feed Stuff Price,201609,2016 September,25,Milk replacer,Euro per Tonne,1991.0
AJM08,Feed Stuff Price,201609,2016 September,26,Wheat,Euro per Tonne,179.0
AJM08,Feed Stuff Price,201609,2016 September,27,Ewe feed coarse (16-20% protein),Euro per Tonne,266.0
AJM08,Feed Stuff Price,201609,2016 September,28,Ewe pellets/nuts (16-20%),Euro per Tonne,279.0
AJM08,Feed Stuff Price,201609,2016 September,29,Lamb feed (16-20% protein),Euro per Tonne,302.0
AJM08,Feed Stuff Price,201609,2016 September,30,Cattle fattening meal (13-15% protein),Euro per Tonne,255.0
AJM08,Feed Stuff Price,201610,2016 October,1,Rolled barley,Euro per Tonne,187.0
AJM08,Feed Stuff Price,201610,2016 October,4,Soya bean meal,Euro per Tonne,406.0
AJM08,Feed Stuff Price,201610,2016 October,5,Barley meal,Euro per Tonne,
AJM08,Feed Stuff Price,201610,2016 October,6,Maize meal,Euro per Tonne,231.0
AJM08,Feed Stuff Price,201610,2016 October,7,Flaked maize,Euro per Tonne,268.0
AJM08,Feed Stuff Price,201610,2016 October,9,Pig grower (16-18% protein),Euro per Tonne,
AJM08,Feed Stuff Price,201610,2016 October,10,Pig fattening meal (13-15% protein),Euro per Tonne,
AJM08,Feed Stuff Price,201610,2016 October,11,Sow breeder (14-16% protein),Euro per Tonne,
AJM08,Feed Stuff Price,201610,2016 October,12,"Sow, weaner and 'bonham' meal (16-17.5% protein)",Euro per Tonne,
AJM08,Feed Stuff Price,201610,2016 October,13,Calf nuts and cubes (16-18% protein),Euro per Tonne,297.0
AJM08,Feed Stuff Price,201610,2016 October,14,Calf meal (16-18% protein),Euro per Tonne,
AJM08,Feed Stuff Price,201610,2016 October,15,Calf nuts and cubes (14-15% protein),Euro per Tonne,
AJM08,Feed Stuff Price,201610,2016 October,16,Cattle fattening nuts and cubes (13-15% protein),Euro per Tonne,264.0
AJM08,Feed Stuff Price,201610,2016 October,17,Dairy nuts and cubes (16-18% protein),Euro per Tonne,272.0
AJM08,Feed Stuff Price,201610,2016 October,18,Dairy meal (16-18% protein),Euro per Tonne,249.0
AJM08,Feed Stuff Price,201610,2016 October,19,Dairy nuts and cubes (13-15% protein),Euro per Tonne,
AJM08,Feed Stuff Price,201610,2016 October,20,Dairy meal (13-15% protein),Euro per Tonne,
AJM08,Feed Stuff Price,201610,2016 October,21,Chick mash (18-20% protein),Euro per Tonne,
AJM08,Feed Stuff Price,201610,2016 October,22,Layers' mash (14-16% protein),Euro per Tonne,345.0
AJM08,Feed Stuff Price,201610,2016 October,23,Broiler starter (22-24% protein),Euro per Tonne,
AJM08,Feed Stuff Price,201610,2016 October,24,Broiler finisher (19-21% protein),Euro per Tonne,
AJM08,Feed Stuff Price,201610,2016 October,25,Milk replacer,Euro per Tonne,2013.0
AJM08,Feed Stuff Price,201610,2016 October,26,Wheat,Euro per Tonne,180.0
AJM08,Feed Stuff Price,201610,2016 October,27,Ewe feed coarse (16-20% protein),Euro per Tonne,265.0
AJM08,Feed Stuff Price,201610,2016 October,28,Ewe pellets/nuts (16-20%),Euro per Tonne,279.0
AJM08,Feed Stuff Price,201610,2016 October,29,Lamb feed (16-20% protein),Euro per Tonne,296.0
AJM08,Feed Stuff Price,201610,2016 October,30,Cattle fattening meal (13-15% protein),Euro per Tonne,253.0
AJM08,Feed Stuff Price,201611,2016 November,1,Rolled barley,Euro per Tonne,188.0
AJM08,Feed Stuff Price,201611,2016 November,4,Soya bean meal,Euro per Tonne,402.0
AJM08,Feed Stuff Price,201611,2016 November,5,Barley meal,Euro per Tonne,
AJM08,Feed Stuff Price,201611,2016 November,6,Maize meal,Euro per Tonne,231.0
AJM08,Feed Stuff Price,201611,2016 November,7,Flaked maize,Euro per Tonne,268.0
AJM08,Feed Stuff Price,201611,2016 November,9,Pig grower (16-18% protein),Euro per Tonne,
AJM08,Feed Stuff Price,201611,2016 November,10,Pig fattening meal (13-15% protein),Euro per Tonne,
AJM08,Feed Stuff Price,201611,2016 November,11,Sow breeder (14-16% protein),Euro per Tonne,
AJM08,Feed Stuff Price,201611,2016 November,12,"Sow, weaner and 'bonham' meal (16-17.5% protein)",Euro per Tonne,
AJM08,Feed Stuff Price,201611,2016 November,13,Calf nuts and cubes (16-18% protein),Euro per Tonne,297.0
AJM08,Feed Stuff Price,201611,2016 November,14,Calf meal (16-18% protein),Euro per Tonne,
AJM08,Feed Stuff Price,201611,2016 November,15,Calf nuts and cubes (14-15% protein),Euro per Tonne,
AJM08,Feed Stuff Price,201611,2016 November,16,Cattle fattening nuts and cubes (13-15% protein),Euro per Tonne,264.0
AJM08,Feed Stuff Price,201611,2016 November,17,Dairy nuts and cubes (16-18% protein),Euro per Tonne,272.0
AJM08,Feed Stuff Price,201611,2016 November,18,Dairy meal (16-18% protein),Euro per Tonne,249.0
AJM08,Feed Stuff Price,201611,2016 November,19,Dairy nuts and cubes (13-15% protein),Euro per Tonne,
AJM08,Feed Stuff Price,201611,2016 November,20,Dairy meal (13-15% protein),Euro per Tonne,
AJM08,Feed Stuff Price,201611,2016 November,21,Chick mash (18-20% protein),Euro per Tonne,
AJM08,Feed Stuff Price,201611,2016 November,22,Layers' mash (14-16% protein),Euro per Tonne,345.0
AJM08,Feed Stuff Price,201611,2016 November,23,Broiler starter (22-24% protein),Euro per Tonne,
AJM08,Feed Stuff Price,201611,2016 November,24,Broiler finisher (19-21% protein),Euro per Tonne,
AJM08,Feed Stuff Price,201611,2016 November,25,Milk replacer,Euro per Tonne,2023.0
AJM08,Feed Stuff Price,201611,2016 November,26,Wheat,Euro per Tonne,182.0
AJM08,Feed Stuff Price,201611,2016 November,27,Ewe feed coarse (16-20% protein),Euro per Tonne,265.0
AJM08,Feed Stuff Price,201611,2016 November,28,Ewe pellets/nuts (16-20%),Euro per Tonne,279.0
AJM08,Feed Stuff Price,201611,2016 November,29,Lamb feed (16-20% protein),Euro per Tonne,296.0
AJM08,Feed Stuff Price,201611,2016 November,30,Cattle fattening meal (13-15% protein),Euro per Tonne,254.0
AJM08,Feed Stuff Price,201612,2016 December,1,Rolled barley,Euro per Tonne,187.0
AJM08,Feed Stuff Price,201612,2016 December,4,Soya bean meal,Euro per Tonne,408.0
AJM08,Feed Stuff Price,201612,2016 December,5,Barley meal,Euro per Tonne,
AJM08,Feed Stuff Price,201612,2016 December,6,Maize meal,Euro per Tonne,230.0
AJM08,Feed Stuff Price,201612,2016 December,7,Flaked maize,Euro per Tonne,268.0
AJM08,Feed Stuff Price,201612,2016 December,9,Pig grower (16-18% protein),Euro per Tonne,
AJM08,Feed Stuff Price,201612,2016 December,10,Pig fattening meal (13-15% protein),Euro per Tonne,
AJM08,Feed Stuff Price,201612,2016 December,11,Sow breeder (14-16% protein),Euro per Tonne,
AJM08,Feed Stuff Price,201612,2016 December,12,"Sow, weaner and 'bonham' meal (16-17.5% protein)",Euro per Tonne,
AJM08,Feed Stuff Price,201612,2016 December,13,Calf nuts and cubes (16-18% protein),Euro per Tonne,295.0
AJM08,Feed Stuff Price,201612,2016 December,14,Calf meal (16-18% protein),Euro per Tonne,
AJM08,Feed Stuff Price,201612,2016 December,15,Calf nuts and cubes (14-15% protein),Euro per Tonne,
AJM08,Feed Stuff Price,201612,2016 December,16,Cattle fattening nuts and cubes (13-15% protein),Euro per Tonne,262.0
AJM08,Feed Stuff Price,201612,2016 December,17,Dairy nuts and cubes (16-18% protein),Euro per Tonne,271.0
AJM08,Feed Stuff Price,201612,2016 December,18,Dairy meal (16-18% protein),Euro per Tonne,248.0
AJM08,Feed Stuff Price,201612,2016 December,19,Dairy nuts and cubes (13-15% protein),Euro per Tonne,
AJM08,Feed Stuff Price,201612,2016 December,20,Dairy meal (13-15% protein),Euro per Tonne,
AJM08,Feed Stuff Price,201612,2016 December,21,Chick mash (18-20% protein),Euro per Tonne,
AJM08,Feed Stuff Price,201612,2016 December,22,Layers' mash (14-16% protein),Euro per Tonne,345.0
AJM08,Feed Stuff Price,201612,2016 December,23,Broiler starter (22-24% protein),Euro per Tonne,
AJM08,Feed Stuff Price,201612,2016 December,24,Broiler finisher (19-21% protein),Euro per Tonne,
AJM08,Feed Stuff Price,201612,2016 December,25,Milk replacer,Euro per Tonne,2015.0
AJM08,Feed Stuff Price,201612,2016 December,26,Wheat,Euro per Tonne,184.0
AJM08,Feed Stuff Price,201612,2016 December,27,Ewe feed coarse (16-20% protein),Euro per Tonne,264.0
AJM08,Feed Stuff Price,201612,2016 December,28,Ewe pellets/nuts (16-20%),Euro per Tonne,278.0
AJM08,Feed Stuff Price,201612,2016 December,29,Lamb feed (16-20% protein),Euro per Tonne,296.0
AJM08,Feed Stuff Price,201612,2016 December,30,Cattle fattening meal (13-15% protein),Euro per Tonne,251.0
AJM08,Feed Stuff Price,201701,2017 January,1,Rolled barley,Euro per Tonne,189.0
AJM08,Feed Stuff Price,201701,2017 January,4,Soya bean meal,Euro per Tonne,410.0
AJM08,Feed Stuff Price,201701,2017 January,5,Barley meal,Euro per Tonne,
AJM08,Feed Stuff Price,201701,2017 January,6,Maize meal,Euro per Tonne,231.0
AJM08,Feed Stuff Price,201701,2017 January,7,Flaked maize,Euro per Tonne,268.0
AJM08,Feed Stuff Price,201701,2017 January,9,Pig grower (16-18% protein),Euro per Tonne,
AJM08,Feed Stuff Price,201701,2017 January,10,Pig fattening meal (13-15% protein),Euro per Tonne,
AJM08,Feed Stuff Price,201701,2017 January,11,Sow breeder (14-16% protein),Euro per Tonne,
AJM08,Feed Stuff Price,201701,2017 January,12,"Sow, weaner and 'bonham' meal (16-17.5% protein)",Euro per Tonne,
AJM08,Feed Stuff Price,201701,2017 January,13,Calf nuts and cubes (16-18% protein),Euro per Tonne,294.0
AJM08,Feed Stuff Price,201701,2017 January,14,Calf meal (16-18% protein),Euro per Tonne,
AJM08,Feed Stuff Price,201701,2017 January,15,Calf nuts and cubes (14-15% protein),Euro per Tonne,
AJM08,Feed Stuff Price,201701,2017 January,16,Cattle fattening nuts and cubes (13-15% protein),Euro per Tonne,262.0
AJM08,Feed Stuff Price,201701,2017 January,17,Dairy nuts and cubes (16-18% protein),Euro per Tonne,269.0
AJM08,Feed Stuff Price,201701,2017 January,18,Dairy meal (16-18% protein),Euro per Tonne,249.0
AJM08,Feed Stuff Price,201701,2017 January,19,Dairy nuts and cubes (13-15% protein),Euro per Tonne,
AJM08,Feed Stuff Price,201701,2017 January,20,Dairy meal (13-15% protein),Euro per Tonne,
AJM08,Feed Stuff Price,201701,2017 January,21,Chick mash (18-20% protein),Euro per Tonne,
AJM08,Feed Stuff Price,201701,2017 January,22,Layers' mash (14-16% protein),Euro per Tonne,345.0
AJM08,Feed Stuff Price,201701,2017 January,23,Broiler starter (22-24% protein),Euro per Tonne,
AJM08,Feed Stuff Price,201701,2017 January,24,Broiler finisher (19-21% protein),Euro per Tonne,
AJM08,Feed Stuff Price,201701,2017 January,25,Milk replacer,Euro per Tonne,2015.0
AJM08,Feed Stuff Price,201701,2017 January,26,Wheat,Euro per Tonne,188.0
AJM08,Feed Stuff Price,201701,2017 January,27,Ewe feed coarse (16-20% protein),Euro per Tonne,263.0
AJM08,Feed Stuff Price,201701,2017 January,28,Ewe pellets/nuts (16-20%),Euro per Tonne,278.0
AJM08,Feed Stuff Price,201701,2017 January,29,Lamb feed (16-20% protein),Euro per Tonne,296.0
AJM08,Feed Stuff Price,201701,2017 January,30,Cattle fattening meal (13-15% protein),Euro per Tonne,250.0
AJM08,Feed Stuff Price,201702,2017 February,1,Rolled barley,Euro per Tonne,192.0
AJM08,Feed Stuff Price,201702,2017 February,4,Soya bean meal,Euro per Tonne,415.0
AJM08,Feed Stuff Price,201702,2017 February,5,Barley meal,Euro per Tonne,
AJM08,Feed Stuff Price,201702,2017 February,6,Maize meal,Euro per Tonne,232.0
AJM08,Feed Stuff Price,201702,2017 February,7,Flaked maize,Euro per Tonne,280.0
AJM08,Feed Stuff Price,201702,2017 February,9,Pig grower (16-18% protein),Euro per Tonne,
